ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Notes
0,694.183,681.933,610.016,y,v,g,l,,,,,,,,
1,812.829,454.011,632.863,y,v,w,l,,,,,,,,
2,840.83,423.684,655.71,y,v,w,l,,,,,,,,
3,944.279,841.456,664.849,y,v,g,l,,,,,,,,
4,886.866,582.561,715.113,y,v,g,l,,,,,,,,
5,894.579,449.075,724.251,y,v,w,l,,,,,,,,
6,857.223,454.96,760.807,y,v,w,l,,,,,,,,
7,860.481,430.002,792.793,y,v,w,l,,,,,,,,
8,761.78,546.739,811.07,y,v,w,l,,,,,,,,
