ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Lhx5,Notes
0,1013.42,862.082,263.576,y,d,g,r,no,,,,no,yes,no,no,
1,845.13,537.722,297.586,y,d,g,r,no,,,,pa,no,no,no,
2,818.108,502.456,300.987,y,d,g,r,yes,,,,no,no,no,no,
3,858.811,485.409,300.987,y,d,g,r,yes,,,,no,no,no,no,
5,1001.14,725.6,311.189,y,d,g,r,yes,,,,no,no,no,no,
6,956.299,592.38,324.793,y,d,g,r,yes,,,,no,no,no,yes,
7,857.226,499.753,331.595,y,d,g,r,no,,,,pa,no,no,yes,
8,839.216,513.181,324.793,y,d,g,r,no,,,,pa,no,no,no,
9,807.017,529.392,345.199,y,d,g,r,yes,,,,no,no,no,no,
10,859.825,673.565,345.199,y,d,g,r,no,,,,pa,no,no,no,
11,852.67,812.4,352.001,y,d,g,r,yes,,,,no,no,no,yes,
12,814.201,443.181,379.209,y,d,g,r,yes,,,,no,no,no,yes,
13,745.84,448.617,440.427,y,d,g,r,yes,,,,no,no,no,no,
