Animal,Clone,Ref,Segment,Location,Position X,Position Y,Position Z,Rotation
S111_a12,c1,CC,s1,c1,914,1029,1620,
S111_a12,c1,L,s1,c1,725,303,1620,
S111_a12,c1,B,s1,c1,1260,877,1617,
S111_a12,c1,T,s1,c1,267,735,1620,
S111_a12,c2,CC,s4,c2,683,727,2978,
S111_a12,c2,L,s4,c2,572,204,2838,
S111_a12,c2,B,s4,c2,316,671,2971,
S111_a12,c2,T,s4,c2,1159,415,2885,
S111_a12,c3,CC,s4,c3,677,759,2440,
S111_a12,c3,L,s4,c3,639,273,2440,
S111_a12,c3,B,s4,c3,288,741,2440,
S111_a12,c3,T,s4,c3,1094,430,2440,
S122_a1,c1,CC,s2,c1,863,897,2012,
S122_a1,c1,L,s2,c1,1104,1700,2012,
S122_a1,c1,B,s2,c1,1302,1139,2012,
S122_a1,c1,T,s2,c1,347,1306,2012,
S140_a16,c1,CC,s4,c1,884,761,626,
S140_a16,c1,L,s4,c1,706,278,629,
S140_a16,c1,B,s4,c1,1117,562,626,
S140_a16,c1,T,s4,c1,480,446,629,
