ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Chx10,ChAT,Notes
0,793.587,606.845,1760.01,g,d,g,r,yes,,,,,,,no,no,
1,1026.14,749.448,1753.2,r,v,g,r,yes,,,,,,,no,no,
2,839.653,725.372,1746.4,r,v,g,r,yes,,,,,,,no,no,
4,687.557,696.084,1749.8,r,d,g,r,yes,,,,,,,no,no,
5,885.741,840.074,1719.19,g,v,g,r,yes,,,,,,,no,no,
6,817.196,870.643,1715.79,r,d,g,r,no,,,,pa,,,yes,no,
7,695.785,603.42,1712.39,r,d,g,r,no,,,,pa,,,no,no,
8,651.757,490.671,1698.79,r,d,g,r,no,,,,wf,,,no,no,
9,874.484,998.14,1695.39,r,v,g,r,yes,,,,,,,no,no,
10,838.667,979.726,1695.39,r,d,g,r,yes,,,,,,,no,no,
11,831.967,950.735,1695.39,r,d,g,r,yes,,,,,,,no,no,
12,849.938,876.332,1685.18,r,d,g,r,yes,,,,,,,no,no,
13,1052.36,919.019,1674.98,r,d,g,r,yes,,,,,,,no,no,
14,873.562,997.617,1654.58,r,d,g,r,yes,,,,,,,no,no,
15,938.921,962.899,1651.17,r,d,g,r,yes,,,,,,,no,no,
16,757.975,1056.64,1610.36,r,d,g,l,yes,,,,,,,no,no,
17,587.281,1370.14,1600.16,r,d,g,l,yes,,,,,,,no,no,
18,708.803,1280.29,1484.53,r,d,g,l,yes,,,,,,,no,no,
19,715.288,1331.47,1464.12,r,d,g,l,yes,,,,,,,no,no,
20,664.733,1237.16,1440.31,r,d,g,l,yes,,,,,,,no,no,
21,769.703,1383.75,1430.11,r,d,g,l,yes,,,,,,,no,no,
22,898.903,1430.21,1430.11,g,d,g,l,yes,,,,,,,no,no,
23,877.08,1418.13,1399.5,g,d,g,l,yes,,,,,,,no,no,
24,884.917,1484.95,1392.7,g,d,g,l,yes,,,,,,,no,no,
25,830.706,1551.45,1382.5,g,d,g,l,yes,,,,,,,no,no,
26,846.893,1416.43,1375.7,r,d,g,l,yes,,,,,,,no,no,
27,697.322,1572.93,1372.29,r,d,g,l,yes,,,,,,,no,no,
28,1114.34,1007.23,1515.14,r,v,w,na,no,,,v,,,,no,no,
29,1140.44,1006.15,1501.53,r,v,w,na,no,,,v,,,,no,no,
30,1088.33,994.264,1484.53,r,v,w,na,no,,,v,,,,no,no,
31,1033.34,1001.85,1481.13,r,v,w,na,no,,,v,,,,no,no,
32,997.752,1005.6,1481.13,r,v,w,na,no,,,v,,,,no,no,
33,883.945,1344.58,1365.49,g,d,g,l,yes,,,,,,,no,no,
34,800.05,1405.64,1324.68,r,d,g,l,yes,,,,,,,no,no,
35,808.688,1560.31,1331.48,g,d,g,l,yes,,,,,,,no,no,
